feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Lilr4b	10	4.05869932432432	3.51381476790685	86920853.5	0.839945115942984	0	0	82.6858108108108	22.6928445573328
Ccr1	10	3.46663851351351	2.98179834967287	86673924	0.837558954059435	0	0	80.6165540540541	17.1712317795931
Msrb1	10	8.57347972972973	6.16088047570808	85767949.8989258	0.828804225007354	0	0	93.2432432432432	45.1934738335507
Il1b	10	18.8559966216216	17.8791311036701	85470627.5	0.825931099781562	0	0	75.1266891891892	16.9332509553557
Srgn	10	36.1680743243243	26.7504866261023	84808830.7338867	0.819535937526929	0	0	97.0861486486486	89.510537516304
Il1rn	10	8.73648648648649	8.2313950698141	84660140.5	0.818099094344739	0	0	73.2685810810811	15.255943799913
Acod1	10	15.207347972973	13.9344022737899	84068157	0.812378560899404	0	0	77.1959459459459	24.7614471064735
Sgms2	10	3.15413851351351	3.02169303171676	83849345	0.810264107769814	0	0	67.0608108108108	7.25383858492941
Cxcl2	10	28.160472972973	28.083380915583	83418707.5	0.806102714383739	0	0	62.8800675675676	3.0617148349008
Lilrb4a	10	5.99408783783784	4.42002774767972	83077729.6123047	0.802807731650807	0	0	89.3158783783784	39.653554838562
Hdc	10	5.03505067567568	4.98102445201947	82483823.5	0.79706861936334	0	0	60.9797297297297	2.74822086451111
Neat1	10	7.23226351351351	5.03002557845482	82430046.6992188	0.796548956252033	0	0	94.0456081081081	63.4012951648704
Cd44	10	7.20692567567568	5.03869153915706	82184047.9208984	0.794171788241619	0	0	91.8918918918919	58.5844717512185
Plbd1	11	15.8814968814969	14.2010574206293	77747513.5	0.915376838847787	0	0	96.4656964656965	31.4418393929097
Napsa	11	10.0587318087318	8.71185220741796	77342588.9814453	0.910609374152385	0	0	96.3097713097713	34.1533582512176
Cbfa2t3	11	6.78742203742204	6.09794418036008	76450210.5	0.900102766845886	0	0	91.0602910602911	24.4535054932608
Olfm1	11	4.30405405405405	4.0082787680647	74529564.5	0.8774896338352	0	0	83.3160083160083	14.6471854117114
H2-DMb1	11	14.1185031185031	10.6753951787591	74521762.1318359	0.877397770998897	0	0	98.7006237006237	58.6091290066825
Gm2a	11	11.3456340956341	8.76470760339262	74118953.3874512	0.872655216819397	0	0	97.8170478170478	64.367425529505
Atox1	11	18.5129937629938	13.6640187941411	73469224.4052734	0.865005494853515	0	0	99.0644490644491	79.3385434364028
Syngr2	11	9.2972972972973	7.07591322209059	73374995.5449219	0.863896071382155	0	0	97.037422037422	62.0568580813229
Crip1	11	27.8087318087318	21.5285868319507	73309201.8154297	0.863121434954476	0	0	98.7525987525988	64.0842677539925
Lsp1	11	13.4698544698545	10.2577353170625	73184017.505127	0.861647550928098	0	0	96.6735966735967	61.9617170687507
H2-Ab1	11	129.822765072765	97.8958877367134	73070419	0.860310074836069	0	0	98.1808731808732	75.7050628610262
Rnase6	11	6.01923076923077	4.89636294728038	73002511.5351562	0.859510551896948	0	0	89.8128898128898	34.8737116321214
Taldo1	11	14.6283783783784	10.5053972933178	72939593.4169922	0.858769772089099	0	0	98.960498960499	79.5809264922415
H2afy	11	11.7463617463617	8.41497653852394	72858631.9892578	0.857816555549408	0	0	98.9085239085239	77.8389398572885
H2-Aa	11	133.376299376299	96.9326477736264	72786810	0.856970944126907	0	0	98.6486486486486	77.3043379771209
H2-Eb1	11	119.85498960499	90.0034322372243	72429866.5	0.85276839412925	0	0	97.972972972973	75.2157662249405
Kmo	11	3.25727650727651	3.03969807257269	72373120	0.85210027717673	0	0	76.1954261954262	7.55917997508212
Ciita	11	8.25727650727651	6.7506959205736	72200771.0180664	0.850071089886245	0	0	89.5530145530145	39.2887076679126
Trerf1	11	8.31496881496881	7.34077015147351	72167699.546875	0.849681715906391	0	0	84.97920997921	28.1617397213727
Ccnd1	11	7.32224532224532	6.34002763054751	72082705.5180664	0.84868102068272	0	0	85.7588357588358	30.1053346924907
Tanc2	12	21.1198653198653	11.8215071644732	51066816	0.771317698789438	0	0	94.1414141414141	39.7182845863987
Plxdc2	12	25.9804713804714	13.7183145529099	50811397	0.767459827656311	0	0	96.4983164983165	47.5708774448233
Zfhx3	12	12.6484848484848	6.79461350450495	49292833.9277344	0.744523316902115	8.4352039980515e-246	2.72330561077093e-242	94.3434343434343	55.9931814103714
