group1	day1	celltype1	group2	day2	celltype2	valtype	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
NEO	12	M1	CTRL	16	M1	p	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	8.629641e-07	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	9.999835e-01	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00
NEO	16	M1	CTRL	16	M1	p	0.9857308	0.9857308	1.0000000	1.0000000	0.9857308	0.9873984	0.9857308	0.9793985	1.0000000	1.0000000	1.0000000	1.0000000	0.9793985	1.0000000	1.0000000
NEO	12	M2	CTRL	16	M2	p	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0
NEO	16	M2	CTRL	16	M2	p	9.319365e-02	9.319365e-02	0.000000e+00	0.000000e+00	9.319365e-02	0.000000e+00	9.319365e-02	1.342002e-02	0.000000e+00	3.043036e-07	1.687720e-04	3.043036e-07	1.342002e-02	0.000000e+00	5.784302e-07
NEO	12	M3	CTRL	16	M3	p	1.0000000	1.0000000	0.9998467	1.0000000	1.0000000	0.9999980	1.0000000	1.0000000	1.0000000	0.9998706	1.0000000	0.9998706	1.0000000	1.0000000	0.9347942
NEO	16	M3	CTRL	16	M3	p	1.0000000	1.0000000	0.9999700	0.3683320	1.0000000	1.0000000	1.0000000	1.0000000	0.6247743	0.7284542	0.9430049	0.7284542	1.0000000	0.6247743	1.0000000
NEO	12	M4	CTRL	16	M4	p	1.000000000	1.000000000	0.002756689	0.183806916	1.000000000	0.882089592	1.000000000	1.000000000	0.999990482	0.004390494	1.000000000	0.004390494	1.000000000	0.999990482	0.999999654
NEO	16	M4	CTRL	16	M4	p	0.000000e+00	0.000000e+00	3.505664e-03	9.888425e-01	0.000000e+00	4.806715e-02	0.000000e+00	0.000000e+00	1.000000e+00	6.135735e-01	1.000000e+00	6.135735e-01	0.000000e+00	1.000000e+00	9.811154e-06
NEO	12	M5	CTRL	16	M5	p	0.9877434783	0.9877434783	0.0001119886	0.0649115366	0.9877434783	0.0065693815	0.9877434783	0.9862051035	0.0310274288	0.0190673574	0.0034673181	0.0190673574	0.9862051035	0.0310274288	0.1034682489
NEO	16	M5	CTRL	16	M5	p	0.9996474	0.9996474	0.4859942	0.9999999	0.9996474	1.0000000	0.9996474	0.9999950	1.0000000	0.9973830	1.0000000	0.9973830	0.9999950	1.0000000	1.0000000
